Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
sample 1,Chrome 69.0.3497.100,,2018-10-15 12:34:50,2018-10-15 12:36:31,1m - 40.742s,PASSED
,,,,,,
Test Cases/Recording,Chrome 69.0.3497.100,,2018-10-15 12:34:52,2018-10-15 12:36:29,1m - 36.636s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-15 12:35:00,2018-10-15 12:35:35,34.524s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-15 12:35:35,2018-10-15 12:35:36,1.244s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-15 12:35:36,2018-10-15 12:35:39,3.300s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 12:35:39,2018-10-15 12:35:40,1.094s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 12:35:40,2018-10-15 12:35:41,0.298s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:35:41,2018-10-15 12:35:41,0.345s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:35:41,2018-10-15 12:35:55,13.604s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:35:55,2018-10-15 12:36:01,6.029s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:01,2018-10-15 12:36:14,12.949s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 12:36:14,2018-10-15 12:36:15,1.075s,PASSED
switchToFrame,Chrome 69.0.3497.100,,2018-10-15 12:36:15,2018-10-15 12:36:15,0.184s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 12:36:15,2018-10-15 12:36:18,2.710s,PASSED
switchToDefaultContent,Chrome 69.0.3497.100,,2018-10-15 12:36:18,2018-10-15 12:36:18,0.131s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:18,2018-10-15 12:36:18,0.204s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 12:36:18,2018-10-15 12:36:18,0.353s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:18,2018-10-15 12:36:20,1.149s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:20,2018-10-15 12:36:20,0.175s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-15 12:36:20,2018-10-15 12:36:20,0.397s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-15 12:36:20,2018-10-15 12:36:21,0.513s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-15 12:36:21,2018-10-15 12:36:21,0.310s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-15 12:36:21,2018-10-15 12:36:25,4.023s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-15 12:36:25,2018-10-15 12:36:27,1.773s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-15 12:36:27,2018-10-15 12:36:29,1.881s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.051s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.070s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.006s,PASSED
,,,,,,
Test Cases/Policy,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.519s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.041s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.009s,NOT_RUN
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.027s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.027s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.008s,PASSED
,,,,,,
Test Cases/Meta facility,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.231s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.027s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.045s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.018s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.021s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.017s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.021s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.036s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:29,2018-10-15 12:36:29,0.005s,NOT_RUN
,,,,,,
Test Cases/facilities,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.866s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.002s,NOT_RUN
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.014s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.013s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.018s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.013s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.015s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.019s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.015s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.016s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.015s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.013s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.017s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.023s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.029s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.034s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.075s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.031s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.048s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.024s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.025s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.094s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.032s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.006s,NOT_RUN
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.005s,NOT_RUN
